Unnamed: 0,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_Encoded,Apps_trans_scaled,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Accept_Rate_scaled,Outstate_Tier_Encoded_scaled,Private_Encoded_scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,0.040311743443240046,0.051276009761238805,0.5005063687062479,-0.05547969999806644,0.43977545004080165,0.30013551679791334,-0.6963833731286324,-0.6036744589706652,1.2711621900847665,-0.28135254105451407,-0.273401038284349,1.037437464562729,-0.8480459248697001,-0.48911693733768,0.7421686746987952,Low,0,1,0.040311743443240504,0.0512760097612389,0.500506368706248,-0.05547969999806654,0.4397754500407995,0.3001355167979134,-0.6963833731286329,-0.6036744589706673,1.2711621900847665,-0.2813525410545138,-0.2734010382843487,1.037437464562729,-0.8480459248697004,-0.48911693733764255,-0.03756027899013342,-1.099672391311716,0.6114319153500704
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,0.29484142537975444,0.49491280731382864,0.1508523952542553,-0.5897369692550372,0.371825895398813,0.8677823552242825,0.5627962016852084,1.2919414548995862,0.4602273976750806,-2.165157353031758,-2.2684551398237143,-0.4376697884463484,-0.44458151258091694,0.5598337094638673,0.8801463860933212,Medium,1,1,0.2948414253797549,0.49491280731382875,0.15085239525425542,-0.5897369692550373,0.37182589539881084,0.8677823552242826,0.5627962016852082,1.2919414548995845,0.4602273976750806,-2.1651573530317574,-2.2684551398237143,-0.43766978844634874,-0.44458151258091727,0.5598337094639048,0.9120251920713291,0.36524832997139145,0.6114319153500704
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,-0.10112043777272797,-0.06646121585733739,-0.30528796405215175,-0.12368771857670886,-0.6267798225266813,-0.7286855166617391,0.3267118394711323,-1.0237043227479306,-0.06672518163941561,-1.2442020010279624,-1.0368844883532395,-0.24974921824366134,0.6666429698449552,0.10075894385737125,0.7682072829131653,Medium,1,1,-0.10112043777272751,-0.06646121585733729,-0.30528796405215164,-0.12368771857670896,-0.6267798225266835,-0.728685516661739,0.32671183947113197,-1.0237043227479328,-0.06672518163941563,-1.2442020010279622,-1.0368844883532393,-0.24974921824366159,0.6666429698449551,0.10075894385740869,0.14164173702481297,0.36524832997139145,0.6114319153500704
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,-1.3190912597085278,-1.2796979516770244,-1.3805168196567532,1.6272983835603572,-1.518585832410593,-0.9762693780604241,0.7116171382359155,-0.6036744589706652,-0.6557840619341024,1.341403144864573,1.3728847638717647,-1.76846596389098,1.120254670067823,1.7488195913009896,0.8369304556354916,Medium,1,1,-1.3190912597085274,-1.2796979516770244,-1.380516819656753,1.6272983835603572,-1.5185858324105952,-0.976269378060424,0.7116171382359153,-0.6036744589706673,-0.6557840619341024,1.3414031448645731,1.3728847638717654,-1.7684659638909808,1.120254670067823,1.7488195913010272,0.6146059983015623,0.36524832997139145,0.6114319153500704
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,-2.1402229604710925,-2.2685725492267412,-2.6367353395305604,-0.5897369692550372,-2.5737303506431264,0.625246405158901,-0.6594432000434237,1.5402401052701242,0.4602273976750806,0.11925016044057488,-0.6802485294455134,-0.5195109599719552,-2.3433079627073257,0.6452297781218866,0.7564766839378239,Low,0,1,-2.140222960471092,-2.2685725492267412,-2.6367353395305604,-0.5897369692550373,-2.5737303506431286,0.6252464051589011,-0.6594432000434242,1.5402401052701227,0.4602273976750806,0.11925016044057517,-0.6802485294455132,-0.5195109599719555,-2.3433079627073266,0.6452297781219241,0.06090981125760059,-1.099672391311716,0.6114319153500704
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,-1.4927080667555925,-1.3084966792375685,-1.7544862008761355,-0.5039903742110078,-1.8017047622503737,-0.23688191729957336,0.7819971330377925,-0.22262317064607157,0.4602273976750806,1.1764343828889745,0.9788813231015295,-0.6299164265370601,0.38265991480354933,0.1376171240031283,0.9631728045325779,Medium,1,1,-1.492708066755592,-1.3084966792375685,-1.7544862008761353,-0.5039903742110079,-1.801704762250376,-0.2368819172995733,0.7819971330377924,-0.22262317064607365,0.4602273976750806,1.1764343828889747,0.97888132310153,-0.6299164265370605,0.3826599148035491,0.13761712400316575,1.4834267602474742,0.36524832997139145,0.6114319153500704
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,0.1653457802186114,0.3846338049099181,0.10249535139772521,0.7260374574039264,-0.14867911601700562,-1.3275676270881929,0.9025564612017435,-0.6036744589706652,-0.7149803023664479,1.0952544342623864,1.68576474558277,-0.03986551937032104,1.120254670067823,0.7594953443536663,0.9057398630858347,Medium,1,1,0.16534578021861185,0.3846338049099182,0.10249535139772532,0.7260374574039263,-0.1486791160170078,-1.3275676270881929,0.9025564612017434,-0.6036744589706673,-0.7149803023664479,1.0952544342623867,1.6857647455827707,-0.03986551937032124,1.120254670067823,0.7594953443537037,1.088163741264578,0.36524832997139145,0.6114319153500704
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,-0.40609109436840035,-0.34205410015585674,-0.7572103689461834,0.36924448019518263,-0.7002455058031278,-0.0609748277881183,1.244219248822876,-2.023772875573782,-1.784000288095055,0.3313811845790514,0.18604632551126654,-0.6856894063241084,0.15468771075919893,0.7897336355315151,0.8082851637764933,High,2,1,-0.4060910943683999,-0.34205410015585663,-0.7572103689461833,0.3692444801951825,-0.70024550580313,-0.06097482778811823,1.2442192488228758,-2.0237728755737847,-1.784000288095055,0.3313811845790517,0.1860463255112669,-0.6856894063241087,0.15468771075919868,0.7897336355315525,0.4174643535482114,1.8301690512544988,0.6114319153500704
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,-0.9781103803075807,-0.8928662668472448,-1.093721092362519,-0.19422217291531432,-0.9376507582499326,-0.8606332750020435,0.13782053078231316,0.8060529764293244,0.8443887826691915,-1.807313389043056,-2.038931336080678,-0.6299164265370601,-0.5402591781850784,0.1748153087268076,0.8556701030927835,Medium,1,1,-0.9781103803075802,-0.8928662668472447,-1.0937210923625187,-0.1942221729153144,-0.9376507582499348,-0.8606332750020433,0.1378205307823128,0.8060529764293226,0.8443887826691915,-1.8073133890430557,-2.038931336080678,-0.6299164265370605,-0.5402591781850787,0.17481530872684503,0.7435753570364412,0.36524832997139145,0.6114319153500704
Alfred University,Yes,1732,1425,472,37,75,1830,110,16548,5406,500,600,82.0,88,11.3,31,10932,73,0.07991531659386036,0.19760028660819437,0.06503588426328684,0.7260374574039264,-0.00480735709759914,-0.6693939014741188,1.4222113195044428,-0.22262317064607157,-1.419790908781924,0.5513818552357662,0.5227114720482265,-0.6856894063241084,0.7345530092783118,0.6473303239541401,0.8227482678983834,High,2,1,0.07991531659386082,0.19760028660819445,0.06503588426328695,0.7260374574039263,-0.004807357097601331,-0.6693939014741187,1.4222113195044426,-0.22262317064607365,-1.419790908781924,0.5513818552357665,0.522711472048227,-0.6856894063241087,0.7345530092783117,0.6473303239541776,0.5170018324771515,1.8301690512544988,0.6114319153500704
