product_title,link,price,currency,pre_reduction,discount
Youth 530,https://www.namshi.com//bahrain-en/buy-new-balance-youth-530/V24336DE3CE7197ABB195V/p/,52.25,BHD,,
Kids Breakbase,https://www.namshi.com//bahrain-en/buy-adidas-kids-breakbase/Z797EF0F958F9075227B9Z/p/,18.9,BHD,22.66,-17%
Youth Copa Pure IV Club IN,https://www.namshi.com//bahrain-en/buy-adidas-youth-copa-pure-iv-club-in/ZF197E5465F38C94433A6Z/p/,13.78,BHD,22.66,-40%
Kids Copa Pure Iv League Tf,https://www.namshi.com//bahrain-en/buy-adidas-kids-copa-pure-iv-league-tf/Z10DF31ED6FBF46D91DFDZ/p/,17.99,BHD,30.24,-41%
Tensaur Switch Shoes Kids,https://www.namshi.com//bahrain-en/buy-adidas-tensaur-switch-shoes-kids/VBCED5BD01D2118C1E879V/p/,15.6,BHD,20.49,-24%
Kids Handball Spezial,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-handball-spezial/ZEAD957247731A8454186Z/p/,20.38,BHD,30.24,-33%
Youth 408,https://www.namshi.com//bahrain-en/buy-new-balance-youth-408/Z3A5172F243161B87E7A8Z/p/,21.97,BHD,27.00,-19%
Youth Gel-Nyc Gs,https://www.namshi.com//bahrain-en/buy-asics-youth-gel-nyc-gs/ZEC500C4A033AA6D18A54Z/p/,49.51,BHD,52.36,-6%
Kids Campus 00S C,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-campus-00s-c/Z25C15A295F6AF89EBFAAZ/p/,20.95,BHD,35.67,-42%
Youth Deportivo III TF,https://www.namshi.com//bahrain-en/buy-adidas-youth-deportivo-iii-tf/Z071DC28788AA9661215CZ/p/,13.78,BHD,18.32,-25%
Youth Runfalcon 5,https://www.namshi.com//bahrain-en/buy-adidas-youth-runfalcon-5/V83152269E8AA3EC18C2EV/p/,18.78,BHD,24.83,-25%
Kids Samba Og,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-samba-og/V04227C685EE6F6F1371EV/p/,32.9,BHD,,
Kids Runfalcon 5 El,https://www.namshi.com//bahrain-en/buy-adidas-kids-runfalcon-5-el/V217C0E56F1A87D4446FDV/p/,16.39,BHD,21.57,-25%
Kids Chuck Taylor All Star,https://www.namshi.com//bahrain-en/buy-converse-kids-chuck-taylor-all-star/V10288262DA3C7E5560ECV/p/,14.57,BHD,27.00,-47%
Youth Gazelle,https://www.namshi.com//bahrain-en/buy-adidas-originals-youth-gazelle/V2B766DBC85AC1AE4D47AV/p/,12.63,BHD,43.26,-71%
Nike Jr. Tiempo Legend 10 Academy,https://www.namshi.com//bahrain-en/buy-nike-nike-jr-tiempo-legend-10-academy/V1F341580B78611C7A0D9V/p/,10.02,BHD,35.67,-72%
AIR MAX 270 BG,https://www.namshi.com//bahrain-en/buy-nike-air-max-270-bg/Z61BEB4290070F8F542BBZ/p/,28,BHD,67.75,-59%
